,작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
41,ooak*******,옵션 선택: 단일 상품 / 색상 선택: 블랙 / 드립팁 선택: X,20250505,5,,디자인부터 슬림해서 맘에들어요. 솔직히 휴대폰에 스마트워치에 태블릿에 충전해야 할 기기들이 너무 많은데 배터리가 롱런해줘서 아주 편합니다. 누수없고 주입도 튐없고 흡입조절도 4단계라 취향껏 조정할수 있어 아주 좋음.,0
42,lnk0***,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250401,5,,친구가 쓰는 기기라 찾아보니 카본에디션이라는 한정판이 나와있어 구매하였는데 맛표현 타격감 무화량 다 최고구요 디자인도 너무 이쁘고 투엑스 하트 로고도 너무 이뻐요 !! 오토드로우로 피는걸 좋아해서 그런 점도 너무 만족하고 좋네요 번창하세요 !!,0
43,noor****,옵션 선택: 닷모드 투엑스 / 색상 선택: 블랙,20250428,5,,코일도 오래가고 맛표현도 좋아요 약시 전담계의 에르메스 닷모드입니다,0
44,dltl*****,옵션 선택: 닷모드 투엑스 / 색상 선택: 블랙,20250502,5,,배송도빠르고 물건도아주조아요 포장도 꼼꼼하게 잘되서오고 굉장히 만족합니다 디자인도 깔끔하고 색감도이쁘고 향도은은하고 맛있어요,0
45,hyes******,옵션 선택: 단일 상품 / 색상 선택: 실버 / 드립팁 선택: X,20250504,5,,디자인 진짜 깔끔하고 사이즈는 딱 적당하고 귀여워요 배터리가 최고인데 작은데 하루종일 사용 가능한 배터리라 정말 좋네요,0
46,sooj*****,옵션 선택: 닷모드 투엑스 / 색상 선택: 실버,20250502,5,,또구매할게요 굿굿굿,0
47,jh****,옵션 선택: 닷모드 투엑스 / 색상 선택: 실버,20250501,5,,잘받았습니다. 사용잘할께요.,0
48,daeg******,옵션 선택: 닷모드 투엑스 / 색상 선택: 블랙 / 닷팁 X 색상 선택: 미포함,20250404,5,,잘사용하고있어요 회사동료들이 많이 사용해서 추천으로 구매했는데 만족합니다.,0
49,pyom*****,옵션 선택: 닷모드 투엑스 / 색상 선택: 실버,20250425,5,,디자인이 진짜 깔끔하고 고급스러워요. 팟 장착도 단단하게 되고 액상샘 걱정 없이 쓸 수 있어서 만족 중입니다. 입호흡 느낌도 진하고 부드러워서 기존에 쓰던 기기보다 흡입감이 훨씬 좋아요. 첫 세팅도 간편해서 초보자도 충분히 사용하기 괜찮다고 생각합니다.,0
50,youk***,옵션 선택: 닷모드 투엑스 / 색상 선택: 퍼플,20250502,5,,"디자인이 세련되었고 조작하고 사용하기 쉬워요. Oled 화면에ㅇ베터리 잔량이나 흡입횟수,출력값 등이 직관적으로 표시되어 컨트롤하기 편하고 그립감 좋고 휴대하기 편합니다 튼튼하고 견고합니다.",0
51,ksh8***,옵션 선택: 닷모드 투엑스 / 색상 선택: 퍼플,20250430,5,,액상 안튀김 안샘 그냥 지인 추천 다해줬습니다 너무 좋아요,0
52,myji*****,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250428,5,,짱 좋아요. 여태 전담 많이 샀는데 이건 혁신입니다,0
53,jeeh******,옵션 선택: 닷모드 투엑스 / 색상 선택: 티파니 블루,20250506,5,,디자인도 그렇고 성능도 너무 만족스러워요. 첫 발매소식때 저는 이미 기기가 있었어서 고장나자마자 이제야 갈아탔는데 그동안 주변 지인에게 엄청 자랑하고 다녔어요,0
54,sooj*****,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250502,5,,오랜만에 다시 전담입문 기계인데 여러모로만족해요,0
55,hun2****,옵션 선택: 찰떡 패키지 / 색상 선택: 카본 레더 / 드립팁 선택: 블랙,20250430,5,,배송도빠르고 너무 깔끔하게 와서 대만족 입니당,0
56,medi****,옵션 선택: 닷모드 투엑스 / 색상 선택: 실버,20250425,5,,"지인 추천으로 처음 전자담배 입문하면서 샀네용. 생각보다 작고 가볍고, 버튼도 없어서 사용법이 단순해서 좋더라구요. 입호흡 느낌도 나쁘지 않고, 액상 교체도 쉽습니당. 디자인이 세련돼서 데일리템으로 가지고 다니기 부담 없고, 지금까지는 대 만족이에요.",0
57,hung*****,닷모드 닷투엑스: 블랙,20250317,1,,디자인 엄청 예쁘고 배터리 오래가고 맛표현좋고 다 좋아요. 근데 ㅠㅠ 하단에 흡입압력 센서 고무부분이 늘어져서 제대로 흡입이 안될때가 많네요. 구입한지 얼마 안됐는데..... 벌써 이러다니,1
58,gnbo*****,옵션 선택: 닷모드 투엑스 / 색상 선택: 퍼플,20250322,5,,동거인 주문으로 사게 되었습니당 ㅎㅎ하루종일 같이 구경하면서 골랐는데 디자인이랑 후기도 괜찮아서 구매했어요!!문의사항 톡톡으로 연락 드렸는데 답장도 잘 해주시고 상품 잘 받았습니다~ 사용한지 이제 일주일? 다 되어가는데 아주 만족중 이랍니다 사은품으로 보조빳데리 작은거도 들어있구요 손에 착 감기고 흡입할때 목을 탁 치는 느낌 들어서 좋타네요 ㅋㅋ색도 잘 빠져서 마음에 들어요 오래 사용하기 도전~~!,0
59,chfh****,옵션 선택: 닷모드 투엑스 / 색상 선택: 그린,20250407,5,,회사오빠가 제꺼 펴보곤 괜찮다고 주문해달래서 주문해줬어요~~ 그린색상이 사진보다 예뻐요~ 솔직히 액상 세는건 어느 기기나 다 있다고 생각하고.. 입 닿는곳엔 액상튐 현상은 없어서 만족하며 3개월째 쓰는중이예요. 보조배터리도 감사합니다~~,0
60,made*****,옵션 선택: 닷모드 투엑스 / 색상 선택: 퍼플,20250502,5,,기기 세번째 구매해요 넘넘 예뻐여 💜💜💜,0
61,nowm****,옵션 선택: 닷모드 투엑스 / 색상 선택: 건메탈,20250425,5,,"이전에 쓰던 기기는 액상 새는 문제 때문에 스트레스였는데 닷투엑스는 확실히 안정감 있네요. 흡입감 부드럽고, 출력도 깔끔하게 유지돼서 괜찮은 타격감 나옵니다. 디자인은 말할 것도 없고, 실물 더 예뻐요. 한 손에 딱 잡히는 사이즈라 휴대성도 좋고, 지금까지 써본 기기 중 탑3 안에 들어요.",0
62,jack****,옵션 선택: 닷모드 투엑스 / 색상 선택: 블랙,20250428,5,,발라리안 2년정도 사용했는데 팟에서 액상이 너무 많이 세서 참다가 바궜습니다 무게감이나 디자인도 맘에들고 코일도 저랑 잘 맞네요~잘 빨리고 좋아요 아직까지 액상세는것도 없고 맘에듭니다,0
63,dino****,옵션 선택: 닷모드 투엑스 / 색상 선택: 레드,20250428,5,,디자인 기능 모두맘에 듬니다,0
64,kang***,옵션 선택: 닷모드 투엑스 카본 레더 에디션 / 색상 선택: 카본 레더,20250501,5,,디자인도 이쁘고 휴대하기에 적당한 크기에 가벼워서 좋아요.,0
