작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
haha****,네스티: 톡스바 25000 포카리,20250506,5,,포카리항도 좋고 3일차인데 액상새는거 모르겠고 액상도 보이는데 아주 많아요.. 전자담배 얼마 안되서 많이 펴보지 않았는데 만족합니다..모앙도 깔끔하고 이 정도면 괞찮은거 같아요. ㅎㅎ,0
cree*****,네스티: 톡스바 25000 레몬아이스,20250507,5,,넘. 맛 좋아요👍👍👍최고최고,0
woon***,네스티: 톡스바 25000 레몬아이스,20250422,4,,빠른 배송 아쉬운듯 안아쉬운듯 네스티바20000(2%)와 비교 했을때 묵직하게 흡입되는 느낌은 약합니다. 네스티바와 동일하게 액상 줄어드는 속도는 빠름. 릴하이브리드는 생각 나지는 않네요,0
dltn*******,네스티: 톡스바 25000 자몽 아이스,20250418,5,,장점은 안좋은 냄새가안나서 좋고 조금만펴도 금방 화해져서 물고있진않아요. 3개째 다른맛으로 피는데 다 괜찮아요. 연초피면 역해서 연초는 끊어졌어요. 단맛이 강해요. 단점은 자주 찾게되요. 무니코틴이라는데 니코틴 있구요~~ 하나에 2주정도폇엇는데 자주찾다보니 1주정도에 끝나버려서 좀 가성비가 .. 그래도 연초보다 나아서 잘애용하고있습니다.,3
wjdq********,네스티: 톡스바 25000 피치 아이스,20250426,4,,흡연자들이 생각하는 타격감은 없어서 뭔가 부족한 느낌은 듭니다. 하지먼 맛은 괜찮아요,0
sunb******,네스티: 톡스바 25000 레몬아이스,20250503,5,,네스티20000을 피다가 바꿔봤는데 만족스럽네요,0
snow****,네스티: 톡스바 25000 더블로젤,20250419,5,,향도괜찮고 사용하기 편하고 좋네요,0
rook*****,네스티: 톡스바 25000 포카리,20250422,5,,오프라인에서 두가지맛 특히나 포카리향을 못구했는데 여기선 쉽게 구했네요 더살걸 그랬어요 ㅠㅠ,1
jjhe****,네스티: 톡스바 25000 레몬아이스,20250508,5,,네 번째 재구매입니다,0
go4z****,네스티: 톡스바 25000 더블 알로에베라,20250426,4,,배송빠르고좋네요. 다만 고무줄뺄때 다칠뻔...,1
rook*****,네스티: 톡스바 25000 피치 아이스,20250422,5,,오프라인에서 두가지맛 특히나 포카리향을 못구했는데 여기선 쉽게 구했네요 더살걸 그랬어요 ㅠㅠ,0
kang******,네스티: 톡스바 25000 민트,20250424,5,,남은 용량이 직관적으로 보여서 좋습니다 배터리 용량도 알수있어서 좋아요,0
jean******,네스티: 톡스바 25000 민트,20250425,5,,가성비가 좋네요. 만족합니다.,0
jeon*******,네스티: 톡스바 25000 애플민트,20250426,4,,아빠가 쓴다고 해서 구매했는데 잘 쓰고 계시지만 조금 향이 아쉽다고 하네요,1
lsj2****,네스티: 톡스바 25000 포카리,20250422,5,,한달만인가 입고되서 시켯어요 포카리 맛잇어요 품절안되게 해주세요,1
qqpp********,네스티: 톡스바 25000 레몬아이스,20250422,5,,신제품같아서 구매해봤는데 목에 느껴지는 타격감이 조금 아쉽긴한데 괜찮은거 같아요,0
loto***,네스티: 톡스바 25000 더블로젤,20250429,5,,네스티 20000에서 25000 으로 변경해보았는데 괜찮은것 같습니다,0
wja1****,네스티: 톡스바 25000 피치 아이스,20250503,5,,가성비있고 잘쓸게요,0
llln****,네스티: 톡스바 25000 청포도,20250423,5,,톡시바는 다 맛잇는거 같아요 제 최애는 파인애플 아이스ㅋㅋ,0
uu****,네스티: 톡스바 25000 애플민트,20250425,5,,제품 만족해요 빠른배송 감사해요,0
be****,네스티: 톡스바 25000 청포도,20250424,5,,동생이 쓰길래 사봤는데 이정도면 연초 끊을수있을듯 타격감이나 연무량 좋네요 많이 파세요,0
arch*****,네스티: 톡스바 25000 더블 알로에베라,20250424,5,,액상이 눈으로 보이니 확실히 기존 네스티보다 잔량 확인이 더 직관적이고 알기 쉬워서 좋습니다,0
sw****,네스티: 톡스바 25000 애플민트,20250501,5,,맛별로 이것저것 사서 이용중 입니다,0
jmg4***,네스티: 톡스바 25000 애플민트,20250429,4,,이건 처음 써보는데 꽤 만족합니다,0
ada0***,네스티: 톡스바 25000 더블 알로에베라,20250427,5,,저렴한가격에빠른배송만족합니다,0
dmsc*****,네스티: 톡스바 25000 애플민트,20250428,5,,좋아요 좋은제품감사힙니다,0
sa****,네스티: 톡스바 25000 더블 알로에베라,20250430,5,,배송빠르고 좋아요~~~,0
wnxo****,네스티: 톡스바 25000 더블 알로에베라,20250501,5,,맛있고 연무량 조절가능,0
kjy_****,네스티: 톡스바 25000 더블 알로에베라,20250403,5,,배송빠르고 아래쪽 흡입양 돌려서 조절하는거? 그거는 별차이못느껴져요 몇번흡입했는지 보여주는거 이건정확하지는안는거같네요 그래도 만족은합니다,1
agem****,네스티: 톡스바 25000 더블로젤,20250425,3,,맛은 좋은데 이상하게 피면 다른브랜드보다 좀 어지럽네.,0
iove********,네스티: 톡스바 25000 애플민트,20250509,5,,맛표현 분무량도좋고 편의점전담보다 가성비훨좋네요,0
lmy1***,네스티: 톡스바 25000 포카리,20250331,5,,다른 제품들과 배터리 용량이 맘에듭니다 하루죙일 피워도 무난하게 버텨주고 맛표현도 제일 좋은것 같아요 포카리랑 애플민트 추천드립니다.,0
qsc3***,네스티: 톡스바 25000 피치 아이스,20250511,5,,자주자주 이용 하겠습니다. 제품 아주 만족합니다...,0
wja1****,네스티: 톡스바 25000 애플민트,20250426,5,,가성비좋아요 잘쓸게요,0
tsik****,네스티: 톡스바 25000 애플민트,20250414,5,,액상 첨인데 리뷰보고 구매했습니다. 3일정도 피웠는데 만족합니다,0
uu****,네스티: 톡스바 25000 포카리,20250425,5,,빠른배송 제품도 만족해요,0
wjdg******,네스티: 톡스바 25000 레몬아이스,20250510,5,,젤 맛있는거에요 배송빠르고,0
ssrw****,네스티: 톡스바 25000 애플민트,20250404,5,,어제 주문하고 오늘 바로 받아봐서 좋으네요. 그런데 노즐 고무가 끊어진것 같은데 이게 맞나요??,0
cree****,네스티: 톡스바 25000 피치 아이스,20250412,5,,너무 만족합니다 타격감이 너무 좋은데요 목도 안아프고,1
scoo***,네스티: 톡스바 25000 애플민트,20250415,4,,액체로 되어 있는거 까지 좋은데 2~3일차에 엄청 증발한 느낌이 들어요 양이 훅 줄어든 느낌?,0
heui****,네스티: 톡스바 25000 애플민트,20250410,5,,향이 좋고 깔끔합니다. 불량이 발생했는데 조치도 빠르고 최고네요. 감사합니다^^,0
kimk******,네스티: 톡스바 25000 더블 알로에베라,20250420,4,,쿨링감이나 타격감은 네스티비에 비해 좀 아쉬워요,0
lsj2****,네스티: 톡스바 25000 포카리,20250429,5,,품절되기전에 주문 ㅎㅎ,0
ze****,네스티: 톡스바 25000 피치 아이스,20250421,5,,배송빠르고 예쁘게 포장되어서 왔어요,0
lmy1***,네스티: 톡스바 25000 애플민트,20250331,5,,하단에 흡입량 조절? 이 있어서 좋고 무엇보다 액상이 육안으로 확인이 가능해서 주문타이밍 맞추기 좋아요 인위적인 맛도 아니고 딱 과일맛 그대로 느껴집니다. 이런 제품 어떻게 만드셨나요 대단합니다!,0
kksk******,네스티: 톡스바 25000 더블 알로에베라,20250416,5,,아주좋아요 재구매의사있어요,0
taza****,네스티: 톡스바 25000 포카리,20250426,5,,포카리도 갠찬네요 ㅎㅎ,0
mshw*****,네스티: 톡스바 25000 피치 아이스,20250411,4,,좋아요 나중에 또 구매할게요 저렴하게 행사도 해주세요,0
pcw1****,네스티: 톡스바 25000 애플민트,20250422,5,,타격감 괜찮고 향도 좋아요,0
namw****,네스티: 톡스바 25000 애플민트,20250428,5,,굳굳 치약맛에네욬ㅋ,0
cdsb***,네스티: 톡스바 25000 망고아이스,20250420,5,,잘받았습니다 감사합니다,0
ze****,네스티: 톡스바 25000 더블로젤,20250421,5,,배송빠르고 잘 포장되어서 왔어요,0
tjf7***,네스티: 톡스바 25000 피치 아이스,20250410,5,,조아요ㅎ 차에서 담배피기싫은데 이건ㅋ향도좋고ㅎ 다조아,0
kk****,네스티: 톡스바 25000 피치 아이스,20250417,5,,빠른배송과 무니코틴이라는 장점 추가구매하고싶은맛,0
haei******,네스티: 톡스바 25000 민트,20250429,3,,저번 버전보다 아쉽네요 애플 민트는 그럭저럭 괜찮은데 그냥 민트말고 포카리가 나았을지도,0
ze****,네스티: 톡스바 25000 더블 알로에베라,20250421,5,,맛 괜찮아요 여러개 시켰는데 또 시킬게요,0
hiza****,네스티: 톡스바 25000 더블로젤,20250502,4,,배송 바르고 맛도 만족스럽슴니다. 다망 케터리가 빨리 닳고 2500번 흡입가능은 아닌것 같네요.,0
ze****,네스티: 톡스바 25000 청포도,20250421,5,,아들선물로 줬는데 좋아하네요,0
djds*******,네스티: 톡스바 25000 포카리,20250512,5,,흡입력 만족해요 좋아요,0
endl******,네스티: 톡스바 25000 더블로젤,20250507,5,,담배 대용으로 좋네요.시원한 맛이 있습니다,0
hone*****,네스티: 톡스바 25000 민트,20250508,5,,단맛이 안나는 액상이 없어 어쩔 수 없이 샀는데 괜찮네요,0
hamm***,네스티: 톡스바 25000 애플민트,20250423,5,,배송 빨라서 좋어요,0
kcs6***,네스티: 톡스바 25000 민트,20250412,5,,맛도 좋고 용량도 커서 좋아요 가격도 적당해서 정착할거같아용~~,0
va****,네스티: 톡스바 25000 청포도,20250509,4,,좋아요. 간단하고 편함,0
tsik****,네스티: 톡스바 25000 자몽 아이스,20250414,5,,만족해요 배송두 넘빠르고요,0
ksh8***,네스티: 톡스바 25000 애플민트,20250412,5,,배송 완전 빠르네요. 담배 대용으로 괜찮네요,0
xjap*****,네스티: 톡스바 25000 망고아이스,20250508,5,,배송 빠르고 항상 만족합니다,0
lsj2****,네스티: 톡스바 25000 애플민트,20250408,5,,배송 빨라요 포카리쓰디가 품절이라 애플민트 구매 햇는데 전 포카리가 좋네요 언제 입고 되니요???,0
nks3***,네스티: 톡스바 25000 더블 알로에베라,20250503,5,,처음 써보는데 누수만 없었으면 좋겠네용 타격감 괜찮아요,0
ksh8***,네스티: 톡스바 25000 더블 알로에베라,20250412,5,,배송 완전 빠르네요. 담배 대용으로 괜찮네요^^,0
sw****,네스티: 톡스바 25000 레몬아이스,20250418,5,,나름 만족하며 쓰다가 두번째 입니다,0
wj****,네스티: 톡스바 25000 레몬아이스,20250417,5,,배송빠르고 품질 조아요,0
kimk****,네스티: 톡스바 25000 포카리,20250511,5,,매우만족 재구매 각,0
hi****,네스티: 톡스바 25000 피치 아이스,20250417,5,,맛이 좋습니다. 감사합니다,0
hacc****,네스티: 톡스바 25000 포카리,20250503,5,,배송도 빠르고 판매자분 응대가 너무 좋아요,0
tmdd***,네스티: 톡스바 25000 더블 알로에베라,20250415,5,,일단 액상용량 남은거 볼수 있다는게 너무 좋음.,0
xxyo*****,네스티: 톡스바 25000 더블 알로에베라,20250502,5,,배송이 빨라요 제품도 좋아요,0
sch1***,네스티: 톡스바 25000 파인애플 아이스,20250417,5,,니코틴 담배 냄새가 없어 좋아요,0
h_****,네스티: 톡스바 25000 애플민트,20250415,5,,20000보다 맛이나 타격감이 덜하긴 하지만 기기자체는 이게 더 좋은 느낌,0
1702******,네스티: 톡스바 25000 피치 아이스,20250504,5,,맛이 크게 호불호 갈리지 않고 적당히 달달하고 좋습니다 용량이 많아서 너무 편해요,0
m_****,네스티: 톡스바 25000 더블 알로에베라,20250512,5,,괜찮아서 재구매 했어요,0
mshw*****,네스티: 톡스바 25000 애플민트,20250422,4,,좋아요 무니코틴 조항요,0
ls****,네스티: 톡스바 25000 피치 아이스,20250405,5,,맛도 멘솔도 너무 자극적이지 않아 좋네요! 제품 완성도도 높은 것 같습니다. 굿굿,0
ays9***,네스티: 톡스바 25000 레몬아이스,20250417,5,,디자인 이뻐요 가격이 착합니다,0
alic********,네스티: 톡스바 25000 자몽 아이스,20250330,5,,배송이 아주 빠릅니다 다행히도 더빠르게 다른맛으로 바꿨네요 서비스센터 전화연결 잘되서 좋습니다,0
hn03***,네스티: 톡스바 25000 피치 아이스,20250421,5,,여러번 구매중입니다,0
fory*****,네스티: 톡스바 25000 레몬아이스,20250511,5,,자아아아알 쓰거습니다.,0
gave******,네스티: 톡스바 25000 청포도,20250404,5,,"이거 정말 가격 대비 성능이 최고예요! 연초 대신 쓰는데 너무 만족스러워요. 액상 맛도 좋고 대용량이라 오래 쓸 수 있어서 좋네요. 편의점에서 쉽게 구할 수 있어 편리하고, 로젤 맛이 은근 중독성 있어요ㅎㅎ 무니코틴이라 건강에도 좋은 것 같아요. 추천합니다!",0
dlwo******,네스티: 톡스바 25000 민트,20250507,5,,누수도 없구 아주좋아요,0
only*****,네스티: 톡스바 25000 더블로젤,20250507,4,,더블로젤 너무 좋습니다,0
1212***,네스티: 톡스바 25000 포카리,20250501,5,,좋아요 아주 만족합니다 또 구매할게요,0
fory*****,네스티: 톡스바 25000 자몽 아이스,20250511,5,,자아아알하거습니다.,0
ljx8***,네스티: 톡스바 25000 애플민트,20250415,5,,맛있어요 배송도빨라요~~!,0
vs****,네스티: 톡스바 25000 피치 아이스,20250411,5,,생각보다너무좋은거같아요 바로하나더시키겠습니다^^,0
wons*********,네스티: 톡스바 25000 레몬아이스,20250508,5,,애착템 고민하지말고 사세요,0
cybe*****,네스티: 톡스바 25000 더블로젤,20250414,5,,배송빠르고 최고네요,0
qkqn*****,네스티: 톡스바 25000 청포도,20250412,5,,괜찮네요!! 지금까지 잘 쓰고 있어요!,0
dpc1***,네스티: 톡스바 25000 포카리,20250507,5,,아무문제없이 잘사용하고있어요,0
dpc1***,네스티: 톡스바 25000 민트,20250507,5,,아무문제없이 잘사용하고있어요,0
team******,네스티: 톡스바 25000 자몽 아이스,20250402,4,,자주이용하는 제품이라 다좋은데 제품이 작다보니 물건이 잘못왔네요 자몽시켰는데 포도가왔네요,0
zxcv****,네스티: 톡스바 25000 망고아이스,20250408,5,,맛이 아주좋아요 잘 피고있습니다,0
oo0o*****,네스티: 톡스바 25000 애플민트,20250504,5,,재주문상품입니다 또 주문할게요,0
wnsd******,네스티: 톡스바 25000 파인애플 아이스,20250413,5,,빠른 배송좋고 맛도 좋아요 ㅎㅎ,0
song*******,네스티: 톡스바 25000 애플민트,20250429,5,,좋아요 심심할 때 피기 굳굳이메용,0
ka****,네스티: 톡스바 25000 포카리,20250427,5,,포카리맛 마싯네요 일체형이라서 다 쓰고 버리면 되니깐 편하네요,0
cybe*****,네스티: 톡스바 25000 피치 아이스,20250503,5,,두번째구매인데 아주좋습니다,0
xjap*****,네스티: 톡스바 25000 애플민트,20250508,5,,항상 만족합니다!👍🏻,0
k2sz*****,네스티: 톡스바 25000 포카리,20250427,5,,너무 잘 사용하고 있어요 재구매 하고싶네용,0
jaym****,네스티: 톡스바 25000 망고아이스,20250508,5,,맛있습니다. 용량넉넉,0
jaym****,네스티: 톡스바 25000 포카리,20250508,5,,맛있습니다. 용량넉넉,0
dhye***,네스티: 톡스바 25000 파인애플 아이스,20250328,4,,네스티바20000에서 한번 넘어왔습니다. 흡입 느낌은 20000에 비해 가벼워 조금 아쉽네요. 맛은 더 진해서 호불호가 있을듯합니다. 파인애플맛인데 다른것도 구매해보려구요,0
cano****,네스티: 톡스바 25000 더블 알로에베라,20250415,5,,진짜 처고보오 이건 짱이애요,0
stee*******,네스티: 톡스바 25000 파인애플 아이스,20250413,5,,맛있어요 재구매 각 ㅎ,0
vulc******,네스티: 톡스바 25000 더블 알로에베라,20250403,5,,배송빠릅니다. 네스티바 20000에서 톡시로 넘어왓는데 맛이 훨씬깔끔하고 깨끗합니다,0
gksd*****,네스티: 톡스바 25000 피치 아이스,20250507,5,,장쓰고있습니다 굳굳굳,0
hong******,네스티: 톡스바 25000 파인애플 아이스,20250406,5,,무니코틴이라 걱정했지만 리뷰 살펴보고 구매했는데 아주 만족합니다.,0
roko****,네스티: 톡스바 25000 애플민트,20250402,5,,겁나게 빠른 배송 액상이 눈으로 확인되고 시원하니 좋아요 많이파세여,0
wjd2***,네스티: 톡스바 25000 망고아이스,20250430,5,,일회용 이것저것 펴보는데 톡스바도 좋습니다. 감사해요,0
hj87****,네스티: 톡스바 25000 더블로젤,20250501,5,,좋아요 👍 😀 👍 많이 파세요,0
jayk******,네스티: 톡스바 25000 레몬아이스,20250321,5,,포장도 꼼꼼하게 잘받았구요 배송도 빨라서 좋았습니다 잘쓸게요,1
ms87****,네스티: 톡스바 25000 레몬아이스,20250506,5,,계속 사 피는중 넘 좋음,0
ys26****,네스티: 톡스바 25000 자몽 아이스,20250404,5,,저번엔 복숭아 이번엔 자몽으로 샀는데 단맛도 적당하고 쿨링감도 좋아서 만족합니다,0
db****,네스티: 톡스바 25000 피치 아이스,20250508,3,,액상 세어서 별로..,0
gydn******,네스티: 톡스바 25000 레몬아이스,20250505,5,,감샇바니다 잘쓸께영,0
gydn******,네스티: 톡스바 25000 파인애플 아이스,20250505,5,,감샇바니다 잘쓸께영,0
cybe*****,네스티: 톡스바 25000 청포도,20250414,5,,배송빠르고최곱니다이ㅡ아,0
love*******,네스티: 톡스바 25000 포카리,20250501,5,,편하고 맛도 좋고 다 좋아요,0
fory*****,네스티: 톡스바 25000 자몽 아이스,20250506,5,,자아아알 씨거습니다.,0
iove********,네스티: 톡스바 25000 더블 알로에베라,20250429,5,,맛표현 타격감 분부량도 너무좋네요,0
smss****,네스티: 톡스바 25000 더블 알로에베라,20250408,3,,처음인데 한번 사용해보고 입맛에 맞으면 추가구매,0
fory*****,네스티: 톡스바 25000 레몬아이스,20250506,5,,자아아아알 하미다.,0
p1sd***,네스티: 톡스바 25000 더블 알로에베라,20250410,5,,만족합니다 재구매 할게요,0
to****,네스티: 톡스바 25000 더블 알로에베라,20250321,5,,오~ 연초 냄새가 싫어져서 처음 사본건데 맘에들어요. 그립감도 좋고 연무량도 조절되니 좋습니다.,0
boom****,네스티: 톡스바 25000 애플민트,20250408,5,,잘 받았습니다. 감사합니다.,0
zlae******,네스티: 톡스바 25000 애플민트,20250423,5,,감사합니다.잘쓰겠습니다.,0
jayk******,네스티: 톡스바 25000 자몽 아이스,20250321,5,,배송도 빠르고 포장도 꼼꼼하게 잘해주셔서좋아요 잘쓸게요,0
gh****,네스티: 톡스바 25000 애플민트,20250427,5,,태국에서 전담 폇었는데 아주좋네요,0
firs******,네스티: 톡스바 25000 레몬아이스,20250410,5,,좋아요 맨날살드 ㅅ중도기되버림,0
uu****,네스티: 톡스바 25000 더블로젤,20250415,5,,빠른배송 감사해요ㄸㄴㄱ지ㅡ,0
sjyo***,네스티: 톡스바 25000 포카리,20250401,5,,맛이 좋습니다! 금연성공해보도록 할께요.,0
fory*****,네스티: 톡스바 25000 레몬아이스,20250503,5,,자아아아알 하거습니다.,0
gytn*****,네스티: 톡스바 25000 레몬아이스,20250502,4,,흡입력 빼고는 다좋음,0
gus5***,네스티: 톡스바 25000 더블로젤,20250504,5,,두번째 구매입니다.,0
socc******,네스티: 톡스바 25000 파인애플 아이스,20250425,5,,좋은제품 저렴하게 구입해서 잘사용하고 있습니다 ㅋ^^,0
with***,네스티: 톡스바 25000 애플민트,20250408,5,,가볍고 향도 좋아서 좋네요,0
yoon******,네스티: 톡스바 25000 포카리,20250428,3,,무니라고 했지만 니코틴이 들어있는것같군요^^,0
jsa0***,네스티: 톡스바 25000 더블 알로에베라,20250415,5,,무난하게 좋네요👍🏻👍🏻,0
gyeh*****,네스티: 톡스바 25000 민트,20250429,5,,가성비대비 만족합니다ㅜ,0
fory*****,네스티: 톡스바 25000 자몽 아이스,20250503,5,,자아알 하거습니다.,0
1702******,네스티: 톡스바 25000 더블 알로에베라,20250402,5,,새로 나왔다고 해서 궁금해서 바로 사봤습니다 알로에가 달달하니 맛있습니다 근데 끝에 살짝 쓴맛? 같은게 나는데 처음에만 그런 줄 알았는데 계속 나는걸 보니 원래 그런듯합니다 지금은 적응이 되었지만 호불호가 좀 갈릴 것 같아요 첫맛은 아주 맛있습니다,1
kdw6***,네스티: 톡스바 25000 더블 알로에베라,20250401,5,,역시나 좋아요 몇번째 쓰고있어요,0
chan*****,네스티: 톡스바 25000 피치 아이스,20250415,5,,역시 우체국택배라 배송 빠르게 잘 받았습니다~ 후기가 좋아서 구매한거라 믿고 써 보겠습니다~,0
jede****,네스티: 톡스바 25000 피치 아이스,20250501,5,,휴대하기 편하고 좋음,0
trib*****,네스티: 톡스바 25000 민트,20250423,5,,빠르고 정확한배송 감사합니다.,0
ghdw*******,네스티: 톡스바 25000 청포도,20250422,3,,4월초에 샀던 제품이 불량이였는지 액상을 벌싸 다 써서 재구매했습니다,0
kimo****,네스티: 톡스바 25000 민트,20250429,4,,휴대하기 편하고 좋습니다,0
k_****,네스티: 톡스바 25000 청포도,20250405,5,,2개 주문했는데 생각보다 좋네요,0
iyub****,네스티: 톡스바 25000 더블 알로에베라,20250319,5,,달달하고 좋네요 배더리도 하루 정도 가고 다른 일회용 전담보다 가성비가 좋아요 덜달고 쿨링감이 쎈 맛도 나왔으면 좋겠네요,0
oo0o*****,네스티: 톡스바 25000 청포도,20250423,5,,배송 빠르고 편해서 좋습니다 재주문 예정,0
x801***,네스티: 톡스바 25000 청포도,20250320,5,,연무감.좋고 과일향 괜찮고 하나로 대충 일주일 넘게 사용해서 일반담배보다 절약되기도하고 좋아요,0
jhoc*****,네스티: 톡스바 25000 민트,20250409,4,,제품받고 이틀째인데 아직까진 괜찮네요. 다 좋은데 단맛이 좀 많이 나는것 같습니다. 머 이건 개인 취향이니...,0
yoon******,네스티: 톡스바 25000 민트,20250428,4,,좀 덜달아도 될거같은데 좀 달아요,0
sw****,네스티: 톡스바 25000 더블로젤,20250405,5,,처음 시도해 보는데 좋기를 바래 봅니다,0
znfl***,네스티: 톡스바 25000 더블 알로에베라,20250404,5,,배송 빠르고 사용하기 편하네요.,0
kgs0***,네스티: 톡스바 25000 청포도,20250425,5,,대단히 좋네요 감사합니다,0
ddco********,네스티: 톡스바 25000 더블로젤,20250423,5,,전자담배 이것저것 많이 사용했는데 제일 좋네요,0
ys26****,네스티: 톡스바 25000 피치 아이스,20250330,5,,입문용으로 샀는데 달달하고 좋네요 또 살듯,0
win2******,네스티: 톡스바 25000 망고아이스,20250423,5,,오래 필수있어 좋습니다 타격감은 약간 떨어집니다,0
post***,네스티: 톡스바 25000 더블로젤,20250415,5,,네스티 톡스바 25000 좋아요 다음에 또 구매할게요,0
cent******,네스티: 톡스바 25000 더블 알로에베라,20250403,5,,이 제품을 고르시면 절대 실망하지 않으실 거예요. 맛도 좋고 사용감도 만족스러워서 계속 찾게 될 것 같습니다.,0
qwer*******,네스티: 톡스바 25000 더블 알로에베라,20250418,5,,굿 좋아요 근데 뚜껑이 있었으면,0
p1sd***,네스티: 톡스바 25000 피치 아이스,20250403,4,,일단 무 니코틴이 맘에 들어요,0
yaud***,네스티: 톡스바 25000 민트,20250420,5,,좋아요 용량도 많아여,0
gus5***,네스티: 톡스바 25000 포카리,20250429,5,,저렴하게 잘 샀습니다.,0
nnv0***,네스티: 톡스바 25000 포카리,20250430,4,,타격감은 그닥 맛은 꽤괜,0
