,작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
10,rh4a*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250424,5,,2단계는 너무 탄 느낌도나고 금방꺼져서 여유있게 1단계만 사용중입니다. 기계는 잘 사용중입니다. 작동도 잘되고^^ 오랫동안 글로기계만 쓴 고객으로써 한가지만 말한다면 기계의 유통기한은 잘쓰면1년 짧으면6개월 같습니다 어느정도 쓰다보면 담배가 잘안들어가서 구겨지고 뺄때 끈어지는 단점이 있어서 ^^ 새거하나 사라는거겠죠. 그래서 이번에도 하나장만해서 사용중이네요 할인 많이해주세요 담배값도 비싼데ㅠㅠ 많이파세요(_ _),1
11,jem7****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250424,5,,"글로 초창기부터 사용해서 하이퍼 까지 사용하고 있습니다. 시간이 지날수록 기기의 발전이 느껴지며 편의성 또한 증가하고 있습니다. 가격도 저렴해서 만족 하구요. 할인 하길래 여분으로 하나 더 구입 했습니다. 전에 쓰던 파란색도 예쁘고, 이번에 구입한 보라색도 오묘하니 예쁩니다. 하이퍼 담배도 밑부분 막힌제품으로 개선되어서 청소하기도 편하더군요. 전체적으로 만족스럽습니다.",0
12,in****,컬러: 글로 하이퍼 (그래파이트 블랙),20250503,5,,남편이 사용하다가 잃어버려서 재구매했어요! 더 좋아졌대요~ 전 모델보다 길이가 길어지고 슬림해진 느낌이네요 빠르게 받아보고 싶으신 분들은 오전 10시 이전에 주문하셔야 당일발송 돼요! ^^,0
13,8514***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250412,5,,연초 1n년차이고 예전에 액상형 전자담배로 실망해서 계속 연초만 피워오다가 직장동료 추천으로 구매했습니다 멘솔만 피우는데 하이퍼 부스트 아주 만족스럽습니다 기기도 저렴하고 가격대비 가성비 끝내줘요 제일 고민하던 부분이 연초랑 궐련형을 병행하는거 아닌가 싶었는데 정착할듯 싶어요 감사합니다,0
14,save****,컬러: 글로 하이퍼 (말라카이트 틸),20250404,5,,아이코스 발매날 줄서서 2번받아서 쓰던 사람인데 정말 청소가ㅠㅠ 릴을거쳐서 글로까지왔습니다 글로는 블레이드가없고 관통형이여서 찌꺼기도안끼고 청소도엄청편했어요 글로 하이퍼2년가까이쓰다 이번에 새로샀는데 전보다 얇아져서 좋네요 그리고 실사용하면서 제일좋은게 네오스틱넣는곳을 깔대기처럼 경사지게만들어놓은게 진짜 신의한수인듯요 운전하면서 입으로 스틱빼고 한손으로 기계들고 끼워넣기 힘들었는데 이제는 대충언저리에 가져다대도 구멍에 쏙잘들어갑니다,1
15,t_na****,컬러: 글로 하이퍼 (그래파이트 블랙),20250422,4,,꼬챙이에 꼽는 방식이 아닌게 가장 좋은점 같습니다. 재 떨어지거나 계속 청소해주고 하는 번거로움이 없네요. 맛은 다른 기기와 크게 차이가 않나는데 연기가 너무 조금 나오는게 아쉽네요. 기기가 저렴해서 얇은 거 꼽는기계 고민중입니다,0
16,kkm6***,컬러: 글로 하이퍼 (코발트 블루),20250424,5,,전에쓰던 구형글로쓰다가 떨어트려서 고장이났어요.. 마침 신제품이나와서 2개구매했어요..충전하기 은근귀찮아 2개 번갈아서 쓸려구요..ㅋ 전 모델보다 슬림하고 살짝 긴모양이에요..이뻐요,0
17,love******,컬러: 글로 하이퍼 (말라카이트 틸),20250424,5,,아직 시연해보진않았지만 디자인은 맘에들구요 이제 연초는 안펴도될거같아요 릴보다 타격감좋고 릴보다 더 길게 작동하면 좋겠네요 기대해보면서 네오스틱사러 갑니다 이건 네오스틱 하이퍼 전용으로 사야하는거겠죠..? 여튼 맘에드네요,0
18,yuly******,컬러: 글로 하이퍼 (말라카이트 틸),20250327,5,,"글로 프로부터 하이퍼x2, 하이퍼 에어, 하이퍼 순으로 사용한 유저입니다. 프로 시절 9,900원 이벤트 판매에 호기심으로 사봤는데 타사 대비 풍부한 연무량과 블레이드 형식이 아니라 스틱 찌꺼기가 없는게 마음에 들어서 바로 정착했습니다ㅎㅎ 타격감보다 연무량을 중요시한다면 추천드리고 싶습니다만 Air 모델은 연무량이 덜 한것 같더라고요ㅜㅜ 이벤트때 구매하면 가격이 워낙 싸서 깜빡했을 때를 대비해 집, 회사 등지에 하나씩 구비해두면 개꿀입니다 그나저나 보조배터리를 엄청 주셨네요 감사하지만 덕분에 흡연량이 늘겠습니다(?) 글로 화이팅ㅎㅎ",1
19,hwan********,컬러: 글로 하이퍼 (애미시스트 퍼플),20250502,5,,요 전자담배가 인기가많은가봐요 남편이 주문해달래서 또 삿어요~~ㅋ 보라색도 이쁘네요 한번 충전함 2일은 간다구요~!,0
20,love******,컬러: 글로 하이퍼 (애미시스트 퍼플),20250507,4,,선물해줬어요 컬러넘이쁘네여 근데 네오스틱 어떤건 재가 있고 어떤건 없고 뭐징 여튼 연초는 꾾을거같네염,0
21,vivi******,컬러: 글로 하이퍼 (말라카이트 틸),20250429,5,,글로 초창기 모델부터 써왔는데 고장이 잦았지만 아이코스와 달리 얇은 스틱이 사용 가능해서 구매 했던건데 이 모델은 얇은 스틱이 아니고 굵은 스틱 가능이네요.. 이번에는 고장 없이 좀 쓸 수 있기를! 컬러는 예뻐요,0
22,mh****,컬러: 글로 하이퍼 (그래파이트 블랙),20250430,4,,가성비 좋은 제품 입니다 제품도 잘 사용 하고 있습니다,0
23,copa****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250408,4,,5개월정도 쓰니 기계가 닳아요 재구매 고객에게 계속 할인을 해주니 글로로 계속 구매하게 되네요. 액정 있는 것부터 여러 가지 기계다 써봤는데 기계 재구매시 할인 혜택 때문에 기계 수명이 다 해도 그럭저럭 괜찮다고 생각하고 사용하고 있음,0
24,ds50****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250401,5,,손에 딱 쥐어지는 컴펙트한 사이즈에 색감도 이쁘네요. 뚜껑 부분도 호가실히 세련되고. 무엇보다 타격감이 최고입니다. 측면 LED 베터리창도 깔끔하게 되어있네요. 가성비가 갑이에요. 적극 추천드립니다^^,2
25,iflo*****,컬러: 글로 하이퍼 (코발트 블루),20250430,5,,글로 하이퍼 맛과 연무감이 너무 좋습니다. 이번에 새로나온 하이퍼 담배는 재가 안떨어져서 더욱 좋습니다. 좀 더 고객의 입장에서 발전하는 글로 되길 바랍니다.,0
26,heeb******,컬러: 글로 하이퍼 (애미시스트 퍼플),20250421,5,,역시글로♡ 이제 새제품을 사야겠어요♡ 너무 예쁜 디쟈인이 눈에 아른거려서 안되겠어요ㅋ 물론얘는 더할나위업시 너무 잘써서 이제는 특유에 찐내가 청소한들 많이 나서 보내줘야 할때가 된듯하나봅니다ㅋ 역이 글로 가성비 짱. 이만한 전담이 세상에 어딧어!! 사랑합니다 글로💕,0
27,blad*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250503,5,,기존 글로보다 가볍고 슬립해져서 휴대하기 편합니다. 연초보단 덜해도 다크타바코를 피우는지라 타격감은 그럭저럭. 사용하기도 편하고 좋습니다.,0
28,psw0****,컬러: 글로 하이퍼 (코발트 블루),20250406,5,,간편하고 크기도 생각보다 작아서 좋아요~ 트로피컬블라스트 딱 제입맛이라 연초 끊을수 있을거같아요^^ 화이팅!,0
29,magi*******,컬러: 글로 하이퍼 (그래파이트 블랙),20250430,5,,이미 사용중인 지인추천으로 구매했어요. 가격이랑 디자인 마음에들고 성능은아직 사용전이라 잘써보고 한달후기에 남기겠습니다.,0
30,rain****,컬러: 글로 하이퍼 (말라카이트 틸),20250429,5,,연초 냄새때문에 처음 전자담배 써봤는데 금액도 저렴하고 그립감도 좋고 초보자도 사용하기 편해요~ 근데 전용 스틱이 있는지는 이번에 첨 알았네요.,0
31,blac*******,컬러: 글로 하이퍼 (그래파이트 블랙),20250426,5,,담배를 줄여보려 처음사용하는 제품인데 사용해보니 간편하고 사용하기 편안하고 문제점도 없고 좋은제품인것같아요 우선써보고 필요시에 하나더 구매할생각입니다,0
32,kkm6***,컬러: 글로 하이퍼 (말라카이트 틸),20250424,5,,전에쓰던 구형모델하이퍼가 고장나서 새로운제품구매했어여..슬림하고 그립감도좋고 색상도좋고ㅋ,0
33,dnfl********,컬러: 글로 하이퍼 (코발트 블루),20250425,5,,이제품은 처음써보는데 일단 기계가 저렴해서 2개주문했습니다~!!! 아직 더 펴봐야겠지만 괜찮은거같아요 일단 시작은 만족스럽네요,0
34,cybe******,컬러: 글로 하이퍼 (그래파이트 블랙),20250507,5,,항상 만족하며 사용중입니다^^ 배송도 빨라요,0
35,m2****,컬러: 글로 하이퍼 (그래파이트 블랙),20250426,5,,아직 사용전이라 잘 모르겠네요. 양품이길 기대합니다,0
36,pf****,컬러: 글로 하이퍼 (말라카이트 틸),20250422,5,,색이 너무 맘에들어요 그립감도 최고입니다 새상품이라 그런진 모르지만 분무량도 좋고 세련된 디자인 너무 맘에 드네요 청소좀 안하게 만들어 주세요 ㅋㅋㅋ,0
37,firs****,컬러: 글로 하이퍼 (그래파이트 블랙),20250507,3,,어쩔수없이 주문했지만.. 진짜 몇달쓰다가 중간에 담배 부러지고 그거 빼내려면 진짜 울화통이... 이번에꺼만 사용후 글로 포기합니다.,0
38,name****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250401,5,,전에 사용하던거에서 기기만 바꿨는데 훨씬 흡입량과 사용감 타격감이 좋아졌네요. 거기에 더해서 납작한 모양에서 모양이 바뀌어서 그립감이나 휴대도 좋아 진듯함니다. 사용시간도 기존에 비해서 길어진듯요..,1
39,chab***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250423,5,,신형으로 갈아타길 정말 잘했네요 그립감도 좋고 훨씬 있어보여요~ 지속 시간도 더 긴거같고 글로는 기기값이 저렴해서 안바꿀 이유가 없는거 같아요!,0
40,su****,컬러: 글로 하이퍼 (그래파이트 블랙),20250501,5,,만족합니다 잘 사용할께요~~~^^ 수고하세요~~~ 물건도 맘에 들고 제품도 빨리 보내셨네요~~~,0
41,dnfl********,컬러: 글로 하이퍼 (애미시스트 퍼플),20250425,5,,전에쓰던 전담이 마탱이 가가지고 찾아보던중 디자인 가격이 너무 만족스러워서 구매하게 되었습니다 처음 써보는 기계라 어떨지모르겠지만 일단 하나 펴본결과 만족스럽습니다^^,0
42,ah****,컬러: 글로 하이퍼 (그래파이트 블랙),20250428,5,,기존 얇은거 보다 더 나은 것 같아요. 연무량이라던가 타격감등 잘 바꿨네요,0
43,vino***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250502,5,,색도 이쁘고...평소 연초 냄새 너무 심해서 갈아탔는데 나름 필만 하네요~,0
44,kang****,컬러: 글로 하이퍼 (말라카이트 틸),20250420,5,,"6번째 구매입니다. 이제는 완전히 글로에 정착했습니다. 사무실에 1개 두고, 가방에 1개 두고, 메인으로 1개 사용하고, 고장 대비 쟁여두고. 처음 구매한 제품은 몇번 떨어지고 하니 상단부분이 파손 되었네요. 가격이 저렴해서 부담이 없네요. 잘 사용하고 있습니다",0
45,skc9***,컬러: 글로 하이퍼 (그래파이트 블랙),20250430,5,,전에쓰던거 가격의 30%수준인데 가격대비 가성비 좋네요. 만족합니다.,0
46,tmdd********,컬러: 글로 하이퍼 (말라카이트 틸),20250501,5,,가성비 좋은 제품 감사합니다 1년제 피고있는데 담배가 기게에 너무 걸려서 힘드네요 ㅋㅋㅋ 좀,0
47,kimd*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250426,5,,만족해요 저는 전담중에 글로가 가장 잘 맞는거같네요,0
48,zd****,컬러: 글로 하이퍼 (그래파이트 블랙),20250501,1,,정말실망입니다.연무량도거의없고 부스트모드는 입이뜨거워요.,0
49,cjeq****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250423,5,,원래 처음시리즈 글루를 사용했는데 이번하이퍼로 변경했어요~ 타사처럼 액상따로안사도되고 하이퍼는 한손 그립감이랑 부드러운진동도좋아요!!,0
50,cjeq****,컬러: 글로 하이퍼 (그래파이트 블랙),20250423,5,,원래 처음시리즈 글루를 사용했는데 이번하이퍼로 변경했어요~ 타사처럼 액상따로안사도되고 하이퍼는 한손 그립감이랑 부드러운진동도좋아요!!,0
51,minh****,컬러: 글로 하이퍼 (그래파이트 블랙),20250501,5,,"하이퍼 프로는 예열 시간이 디스플레이로 나오는데, 하이퍼는 led가 들어오는 바형태 버튼으로 충전량, 예열량, 사용시간이 표시되어서 간단하고 나머지는 구조가 동일하네요.",0
52,yeon****,컬러: 글로 하이퍼 (그래파이트 블랙),20250427,2,,기기는 깔끔하고 작동 잘되요 근데 알맹이가 4800원이네요 이걸 계속 써야하나 심각한 고민중입니다...,0
53,chan*****,컬러: 글로 하이퍼 (코발트 블루),20250430,5,,일전에 구매 후 선물용으로 추가 구매했어요 기존 제품보다 확실히 좋아요,0
54,alll***,컬러: 글로 하이퍼 (그래파이트 블랙),20250423,5,,"이전모델 고장나서 교체했는데 그립감, 히팅 등 좋군요. 마음에 듭니다. 뉴네오가 타격감도 끝까지 가네요.",0
55,wjdd**********,컬러: 글로 하이퍼 (그래파이트 블랙),20250424,5,,신랑이 주문해달라고해서 재주문 했어요 퍼플도 예쁘고 블랙도 예쁘네요 급속충전된다고 좋아해요~,0
56,asd8*****,컬러: 글로 하이퍼 (코발트 블루),20250508,5,,다시글로로 구입하게됐는데 만족합니다,0
57,he****,컬러: 글로 하이퍼 (그래파이트 블랙),20250430,5,,사용이어렵지않고 정말좋아요~^^ 강추합니다~,0
58,wusd***,컬러: 글로 하이퍼 (그래파이트 블랙),20250427,5,,배송도 빠르구 좋았습니다! 항상 사용하던 제품이에여,0
59,lyc1***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250405,5,,글로제품이 맘에들어 오프라인에 이어 하나더 구매합니다. 가성비도 좋구...^^,0
60,67****,컬러: 글로 하이퍼 (말라카이트 틸),20250502,5,,이번꺼 좋아요 그립감이 좋으니까 손이 작은 저에게도 편해요,0
61,rh4a*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250418,5,,"기존에 쓰던게 오래되어 하나 장만했습니다. 설명서를 제대로 보지안고 썻더니, 왜 이렇게 빨리꺼지나 이번건 별로네 ㅜㅜ 했는데 제가 2단계를 사용중이였더라고요ㅎㅎ 1단계 사용 후 잘 사용하고 있습니다. 많이파세요",0
62,inod****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250423,5,,하이퍼 세번째 기계입니다.슬림하면서도 직관적인 디진인이라좋네요.사용후 바로 충전시 과열반응이 나올때가 좀 있네요,0
63,i4****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250502,3,,연무감이나 타격감은 전에비해 더 좋다는 것은 못느꼈지만 가볍고 그립감은 좋으네요,0
64,kan3***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250430,5,,배송 빠르고 아주 좋습니다.,0
65,zard****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250409,5,,매번 구입중이고 가성비가 최고입니다,0
66,yyh1***,컬러: 글로 하이퍼 (코발트 블루),20250506,5,,아주 깔끔하고 사용하기 편안합니다 원터치 클란도 좋쿠요,0
67,yoon*****,컬러: 글로 하이퍼 (말라카이트 틸),20250507,5,,늘 잘 피고이써여 저번버전보다 더 쎄서조음,0
68,wow2***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250407,5,,"배송이 빠르고 포장도 꼼꼼하네요. 제품 자체도 기대했던 것보다 훨씬 만족스럽고, 쓰기 편하네요. 다만, 프로 슬림보다 찐냄새가 있네요. 그래도 가격 대비 품질이 좋아서 주변에도 추천 할 예정입니다.",0
69,ajzb****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250501,5,,아직 고장없이 아주 잘쓰고 있습니다 시간도 적당하고 만족합니다,0
70,dv****,컬러: 글로 하이퍼 (그래파이트 블랙),20250403,5,,이전에 사용하던 글로하이퍼보다 같은 스틱을 사용해도 마치 다른것처럼 맛과 목넘김이 너무 훌륭합니다. 디자인도 날씬해져서 들고다니기에도 좋구요 아이코스로 갈아탈까 하다가 보조배터리이벤트에 낚여서 주문했고 보조배터리는 못받았지만 그래도 기계자체는 훌륭해서 '마지막 글로'로 사용 후 아이코스 넘어가려고 합니다.,1
71,gray*****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250426,5,,기대이상으로 만족합니다 ~ 타격감도 좋고요. 지인에게도 추천했네요. 👍,0
72,satt****,컬러: 글로 하이퍼 (코발트 블루),20250430,5,,배송은좀느려요 그립감좋습니다 끊어야하는데 자꾸사네요ㅋㅋ,0
73,need****,컬러: 글로 하이퍼 (말라카이트 틸),20250327,5,,한 3개월 쓰니까 빡빡해지고 스틱 부러지는 빈도도 잦아지고 싼맛에 하나 더 삼... 그리고 정확한 수치 공개하지 않는 이상 낚시성이벤트는 오히려 싼맛에 종종 구매하던 충성고객들 다 등돌리게하는 어그로성임.. 그냥 예전처럼 5천원 재구매 쿠폰이나 기계 빡빡해지는 시점인 3개월 단위로 뿌리는게 판매량은 더 증가할듯함.. 담배 스틱자체도 엉성해서 같은값이면 호환되면 타사 담배 사겠지만 기계 싼게 가장 장점인 글로라서 마지못해 핀다는거 글로 관계자분들 제발 좀 아시길... 기계 3개월정도 쓰면 빡빡해지고 스틱 부러지는거 고질적인 결함이라고 할 수 있는데 왜 변화가 없는지 참...,10
74,ks98********,컬러: 글로 하이퍼 (코발트 블루),20250503,5,,만족합니다 이쁘기도하네요,0
75,idha****,컬러: 글로 하이퍼 (말라카이트 틸),20250501,5,,이쁜 디자인에 내구도 튼튼 이전 모델보다 성능 업! 만족합니다.,0
76,kime*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250505,5,,맨날 뻑뻑 피네요... 끊어야 하는데..,0
77,kty0*****,컬러: 글로 하이퍼 (코발트 블루),20250505,5,,맛좋습니다 고장나지 않길 바랍니다~!~!,0
78,se****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250427,5,,그전 모델과 급이 다릅니다. 끝까지 일관된 연무,0
79,kkk4***,컬러: 글로 하이퍼 (그래파이트 블랙),20250421,5,,이전께 더 직관적인 느낌이 있는것 같기도 한데 여러가지로 만족합니다!,0
80,4h****,컬러: 글로 하이퍼 (그래파이트 블랙),20250429,5,,처음 사봤는데 괜찮아요ㅋ 자주 쓸거 같네요,0
81,wndi***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250415,5,,빠른배송 ㅠ 토요일에 올줄 몰랐어요. 회사로 시켰는데.. 열어서 만족스럽다 생각하고 있었는데.. 타매체에서 할인행사를 하시네용..ㅠㅠ,0
82,psk8***,컬러: 글로 하이퍼 (애미시스트 퍼플),20250415,5,,기존보다 타격감이 좋습니다. 이제야 제대로 된 제품이 나온듯 담배맛이 다르네요,0
83,feel****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250502,5,,재구매햇어요~~ 가성비 굿,0
84,ex****,컬러: 글로 하이퍼 (그래파이트 블랙),20250503,5,,아직 부러지거나 하진 않지만 빡빡해서 금방 부러질듯,0
85,kimj****,컬러: 글로 하이퍼 (그래파이트 블랙),20250426,4,,그립감좋고 흡입도 괜찮아요 근데 시간이 짧은느낌?드는거같기도하고,0
86,hji1***,컬러: 글로 하이퍼 (그래파이트 블랙),20250501,5,,하이퍼 슬림 쓰다가 잃어버려서 샀는데 디자인 좋네요,0
87,wjdc****,컬러: 글로 하이퍼 (그래파이트 블랙),20250419,5,,가격대비 정말 괜찮은거 같아요 ㅎㅎ 그리고 배송도 빠르게 와서 좋았어요,0
88,ryum****,컬러: 글로 하이퍼 (애미시스트 퍼플),20250409,5,,프로 쓰다가 액정이 고장나서 고민하다 액정 없는 제품을 발견~ 가격저렴하고 배송빠르고 성능좋고 컬러도 맘에 쏙!들어요!!,0
89,secr******,컬러: 글로 하이퍼 (그래파이트 블랙),20250423,5,,항상 사용하던 제품이라서 믿고 재구매 했습니다. 가격대비 좋은 제품으로 배송도 1일... 정말 빠르네요,0
90,secr******,컬러: 글로 하이퍼 (그래파이트 블랙),20250423,5,,항상 사용하던 제품이라서 믿고 재구매 했습니다. 가격대비 좋은 제품으로 배송도 1일... 정말 빠르네요,0
91,haya******,컬러: 글로 하이퍼 (말라카이트 틸),20250505,4,,잘쓰겠습니다 마니파세요,0
92,gabb***,컬러: 글로 하이퍼 (그래파이트 블랙),20250427,4,,꾸준하게 사용중! 내구성 빼고 만족해요,0
93,coff********,컬러: 글로 하이퍼 (애미시스트 퍼플),20250422,4,,히팅 속도 빨라서 성격급한 저한테 딱! 색도 예쁘고 손에 쥐기도 좋고!! 잘 쓰고 있습니다~^^,0
94,sksh***,컬러: 글로 하이퍼 (그래파이트 블랙),20250430,5,,릴쓰다가 바꿨는데 연무량도좋고 가성비 좋네요,0
95,danc******,컬러: 글로 하이퍼 (코발트 블루),20250423,5,,빠른 배송 감사합니다. 잘 쓸께요.,0
96,urba*****,컬러: 글로 하이퍼 (그래파이트 블랙),20250502,5,,과거 하이퍼 구매자로 잘쓰고 있습니다. 신상 나왔길래 구매합니다.,0
97,skkm***,컬러: 글로 하이퍼 (그래파이트 블랙),20250425,5,,신제품이 조금더 궐련이 잘들오가네요. 예전 하이퍼는 조금 빡빡해서 불편했거든요.,0
98,dark*****,컬러: 글로 하이퍼 (말라카이트 틸),20250501,5,,색상이 이쁘고 발열도 좋아서 담배맛이 좋아요,0
99,wogu******,컬러: 글로 하이퍼 (그래파이트 블랙),20250503,5,,몸에 안좋아도 연초보다는 나은 거같아요,0
100,67****,컬러: 글로 하이퍼 (코발트 블루),20250502,5,,예쁘고 그립감 좋고 냄새적어요,0
101,pari******,컬러: 글로 하이퍼 (그래파이트 블랙),20250502,5,,배송 빠르고 기기도 만족스럽습니나.,0
102,weln******,컬러: 글로 하이퍼 (그래파이트 블랙),20250425,5,,연무량이 조금 아쉽긴 하나 목넘김 타격감이 좋네요. 연초생각이 덜 납니다,0
103,blue*******,컬러: 글로 하이퍼 (코발트 블루),20250423,4,,적당한 가격에 구매했습니다. 배송 처리 매우 빠릅니다. 잘 받았습니다. 편리하게 잘 사용했습니다.,0
104,choe******,컬러: 글로 하이퍼 (그래파이트 블랙),20250406,5,,역쉬 글로는 가성비 짱입니다.. 디자인도 좋고 연무량도 충분한 듯하고 금방 가열되어 너무 만족합니다.. 추매 의향 있습니다.. 써보고 다른 색으로 구매하려구요.. 강추합니다.,0
