작성자,제품명,리뷰작성일,별점,한달 사용기,리뷰 내용,도움 수
walt******,헬베이프 젤로: 새비 화이트,20250504,5,,너무 귀엽네요 여자분이 리뷰한걸 봐서 클줄 알았는데 제손엔 작네요 하루동안 주머니에 막 넣어서 사용했지만 누수도 없고 좋습니다 그리고 제작자분의 열정과 제품에 대한 사랑이 느껴져서 기분 좋네요,0
jung******,헬베이프 젤로: 블랙로즈,20250422,5,,우선 배송부터 제가 오후 4시58분쯤 주문했는데 다섯시 전이라 바로 다음날이 되었더니 벌써 도착했네요! 디자인도 너무 마음에 들고 기본적으로 타기기들에 비해 누수가 워낙 적다는 말을 듣고 구매했는데 주머니에 넣어서 위아래 흔들려도 아직까지 새지않았어요:) 무화량도 나쁘지않고 입문용으로 진짜 최고! 저렴하게 잘샀다는 생각이 듭니다^^ 주변에 관심있는 사람들에게도 널리널리 공유해보려해요ㅎㅎ,0
bool***,헬베이프 젤로: 1225 에디션 다크실버(한정판),20250303,5,,다른 전담기기사용하다가 누수누수 너무 싫고 스트레스받아서 전담금카페 선배님들 조언듣고 젤로로 넘어왔어요 며칠 안됐지만 누수 1도없고요 공기홀 풀개방에 와트는 공팟에 적혀있는 평균와트로 결정해서 사용중인데 너무 마음에 듭니다 동봉되어온 0.8옴 먼저 사용중입니다 부스터 0.8옴 6개 여유있게 구매했어요 ㅎㅎ 개인적으로 단점은 있긴해요 측면 주입구쪽 주입이 적응이 안되서그런지 좀 불편하고요 공팟용량이 3미리라서 좀 자주 주입해야한다는거... 그것만 적응되면 최고 제품이라 봅니다 1225 다크실버 색상 최고! 케이스도 너무 마음에들고 영상에서 보시다시피 뚜껑여는 방법은 손으로 여는것보다 탑캡을 살짝 들면 빠집니다 ㅎㅎ 앞으로 동일한 성능으로 용량이 더커진 제품이 나왔으면 더 좋을것같아요 감사합니다 ^^,1
ssup********,헬베이프 젤로: 블랙 초콜렛,20250418,5,,"5번째 재구매 합니다.ㅎㅎ 제품력 말모. (다 제가 잃어버리거나.. 여름에 주머니에 초콜렛 넣어둔거 깜박하고 같이 넣다가 충전 단자에 초콜렛 범벅되서 다시 사거나.. 뭐 그런식이에요 ㅎㅎ) 고장인가? 싶어 문의 드리면 진짜 답변 완전 빠르시고 친절하시고, 제가 작동법을 잘 몰라서 생기는거였지 제품의 고장이나 문제였던적이 단 한번도 없네요. 제가 정말 소지품들을 잘 떨구는데 차에서 내리면서 아스팔트에 갈리고 주차장 바닥을 굴러도 고장난 적이 단 한 번도 없네요. ㅎㅎㅎ 사용의 간편성이나 내구성이나 모든면에서 좋아요. 유일한 단점을 굳이(?) 꼽으라면 캡 뚜껑은 금이 잘가고 잘 깨집니다.ㅎㅎ 자석도 잘 떨어져요.~ 돈 잘버시는 분들은 구매하실 때 보호 케이스랑 캡 깔별로 같이 주문하시면 좋을 것 같아용 ㅎㅎ 사장님 감사합니다! 늘 좋은 상품,가격, 서비스 잘 유지해주시고 항상 건강하시고 번창하세요~^^",0
mi****,헬베이프 젤로: 1225 에디션 다크실버(한정판),20250402,5,,기존에 쓰던게 누수로 as받는 와중에 신상 한정판 완전 내스탈나와서 한개 더 구입!디자인 스틸색상 고급지고 흔하지않아 좋아요 한손에 그립감 딱 들어오고 분무도 잘되고 곧 여름이라 더 찰떡일듯 여기 맘에드는게 as너무 친절하시고 빠르게 처리해주시고 설명도 잘해주심 굳굳 이런 서비스면 재구매할 수 밖에 없죠! 사장님 체고👍🏻한가지 단점이라면 이 제품은 고무가아니라 떨어지면 기스나거나 소리가 크게나는점? 그거말곤 다 이쁨ㅎㅎ 화이트 블랙으로도 디자인 한개 더 나왔으면 좋겠어용🤍번창하세요,0
qudr******,헬베이프 젤로: 블랙로즈,20250509,5,,일단 배송 빨랐구여 무게가 정말 가벼워요! 전에 avp맥스/발라리안 사용했었는데 그거에 비해 훨씬 가벼운 느낌입니다 그립감 좋구요 실물 색감이 깡패네요.. 그리고 표면이 맨들?한 재질이라 미끄러울까봐 걱정했는데 주머니에선 잘 빠질지는 몰라도 손에서는 미끄럽지 않고 딱 달라붙어 있는 그런 재질 느낌입니다^^,0
rm****,헬베이프 젤로: 1225 에디션 다크실버(한정판),20250508,5,,"2번째 구매입니다. 이번에는 한정판으로 구매했는데 영롱한 빛깔에 은은히 빛나는 실버색상, 후회없는 선택이었어요ㅎ 플라스틱 캡을 사용하며 상부쪽이 자주 금이 갔는데 이번 제품은 그 단점을 해소할수 있어 매우 만족합니다! 누수 없는건 말해 뭐하겠어요ㅎ 좋은 제품 개발하고 판매해주셔서 감사합니다.",0
yong********,헬베이프 젤로: 피치 버터,20250430,5,,왜 이제 샀을까요 ㅠㅠㅠ 원래 젤로 두개 들고다니는데 하나를 잃어버려서 구매하게 됐어요 ~! 오프라인 매장에는 기기 색상이 다양하지 않더라구요 근데 이렇게 예쁜 색들이 있다니요 다 살뻔했는데 절제했습니다 ㅠㅠ! 실물이 훨예쁜 파스텔톤이구 케이스까지 끼우니 영롱하고 든든해요!! 맨날 떨어트리고 입구에 먼지끼고 해서 힘들었는데 이제 걱정없습니당,0
qkdr*******,헬베이프 젤로: 블러드 샷,20250423,5,,발라리안만 쓰다가 누수랑 단맛부스팅이 너무 심해서 이것저것 찾아보던중 누수없고 밸런스 좋기로 소문난 젤로로 결정!!!! 서비스도 주시고 포장도 너무 꼼꼼히 해서 결제 바로 다음날 도착했어요!!!! 아직 배이핑 전이지만 너무 기대됩니다!! 감사합니다!,0
yeeu*****,헬베이프 젤로: 블랙로즈,20250508,5,,배송도 너무너무 빨랐고 무엇보다 디자인이랑 그립감이 너무 좋아서 놀랐어요🥹 연무량도 만족스럽고 맛표현도 정말 깔끔해서 젤로로 아예 갈아타도 될 것 같아요:) 편지랑 간식까지 너무 감사합니다🤍,0
hans*****,헬베이프 젤로: 아사이 버터,20250428,5,,그레이 안녕! 하고 새로나온 아사이버터로^^ 색감이 아주 미쵸써용! 너무너무 예뻐요^_^ 서비스로 챙겨주신것도 너무 잘받았습니다 역시 이쁜건 젤로젤로!,0
dkdl****,헬베이프 젤로: 아사이 버터,20250501,5,,잃어버려서 재구매하는건데 좋아하는색상이 딱 있어서 바로 구매했네요 너무 이뻐요♥︎,0
jina****,헬베이프 젤로: 젤로 스마일,20250505,5,,전에쓰던 젤로가 수명을 다하여 다시 구입했습니다. 새로운 제품을 써볼까 생각도 했는데 만족하며 썼던터라 그냥 다시 구입함. 이번에는 고장없이 오래 쓰길 ...,0
lyy1***,헬베이프 젤로: 블루스카이,20250504,5,,발라리안맥스 쓰다가 누수로 고장나고 누수 가장 없다는 젤로로 갈아타봤습니다! 이쁘네요!! 팟은 하나 더 챙겨주신 것 같은데 감사합니당 잘쓸게요+!🫡,0
adh2***,헬베이프 젤로: 1225 에디션 다크실버(한정판),20250426,5,,빠르게 잘받았습니다 원래쓰던 아스몬이 요단강을 건너게되어서 찾아보다가 구매했는데 생각보다 디자인이 이쁘고 맛표현도 좋아요! 현재 부스트 코일 사용중인데 단맛 찐하게 올려주는거같아서 만족합니다 ㅎ,0
donm****,헬베이프 젤로: 반타그레이,20250428,5,,"한달 동안 사용하면서 누수 걱정 없고 냄새 걱정 없이 아주 만족하면서 쓰고 있습니다 기존 궐련형 대비 다양한 맛, 니코틴 충족 가능, 역한 냄새 없고 연무량이 많아 타격감까지 만족하면서 쓰고 있어요!!",0
klsj****,헬베이프 젤로: 라무네 버터,20250508,5,,색상 고민 진짜 많이 했는데 라무네 버터 진짜 예쁘네요♡ 젤로는 원래 쓰던 기종이라 믿고 구매했지만 저렴하게 잘 구매했습니다!,0
woos*****,헬베이프 젤로: 라무네 버터,20250508,5,,처음 전담 사보는데 사용하기도 편하고 편안하게 사용했어요. 그리고 한손에 딱 들어와서 좋았어요. 다음에도 구매할거 같습니다!,0
lsy2***,헬베이프 젤로: 블루스카이,20250508,5,,색도 산뜻하고 배송도 빠르고 짱짱이요!! 발XXX이 잠깐 물에 빠져서 고장 났는데 젤로 택배 받고나니 다시 작동하긴하네요..ㅋㅋ 여유있게 3개로 번가라가면서 펴야겠네요..ㅋㅋ,0
ryus*****,헬베이프 젤로: 블러드 샷,20250318,4,,상품 자체는 만족합니다. 맛 표현도 좋고 무화량도 마음에 듭니다. 액상 누수 걱정도 없고요. 하지만 옵션으로 파는 투명 케이스는 판매하면 안된다고 생각되네요 재질은 핸드폰 투명케이스 재질인데요 하단부는 너무 헐거워서 잘 빠지고 상단부는 꽉 끼는 구조네요 제일 문제는 오염방지 마우스캡 부분은 양손으로 잡고 빼야될 정도입니다. 그때문인지 몰라도 필터 마우스피스가 분리되 버리네요. 판매자도 이 문제를 알고 있을 건데 파는 건 아니라고 봅니다. 판매자분께서 이 글을 보신다면 투명 케이스는 팔지 않는 게 좋을 듯하네요. 케이스 반품 하려다 귀찮아서 그냥 버리고 새로 사야 되겠네요.,0
chku****,헬베이프 젤로: 1225 에디션 다크실버(한정판),20250403,5,,"발라리안 2개월쓰다가 액상흡입 이슈로 젤로 넘어왔는데 약 2년안되게 아주 잘쓰고 있습니다 원래 하나로 정착하면 다른건 안찾는 타입이라 맥스가 출시된건 알고 있었음에도 딱히 끌림이없어서,, 요번에도 기존 제품을 구매한게 벌써 세식구가 되었네요 아직까지도 두기계가 멀쩡해서 사실 안사도되는데 우연히 공팟사러왔다가 겁나이쁜 실버를 보게되면서 구입한건데 기존 기계들과는다른 묵직함과 영롱함이 사길 잘했단 생각밖에 안듭니다 젤로의 누수없는 공팟은 말할것도없고 기계 배터리도 오래가면서 현재까지 2번낙하해도 멀쩡히 잘되는 기계까지 완벽합니다! 단점같지도않은 단점 딱 한개 요번 실버 구매하면서 아쉬웠던건 유광이라 지문 묻는게 잘보여서 살까말까 고민하다 구매를 안했던 케이스가 자꾸 눈에 아른거려서 이것도 조만간 구매할듯합니다ㅜㅜ",0
dkau*****,헬베이프 젤로: 1225 에디션 다크실버(한정판),20250502,5,,"확실히 실버라 간지나네요 전에 쓰던 기기가 너무 새서, 바꾸는 참에 덜새는 기기 찾다가 젤로를 알게되서 구매했는데 확실히 덜새는것 같고 조씁니다 일단 기본으로 주신팟 쓰고 있는데 부스트팟? 빨리 써보고싶네유 ㅋㅋㅋ",0
